,Unnamed: 0,date,currency,code,bid,ask
0,0.0,2020-06-09,b'dolar ameryka\xc5\x84ski',USD,3.8756,3.9538
1,1.0,2020-06-09,b'dolar australijski',AUD,2.6962,2.7506
2,2.0,2020-06-09,b'dolar kanadyjski',CAD,2.8847,2.9429
3,3.0,2020-06-09,b'euro',EUR,4.3984,4.4872
4,4.0,2020-06-09,b'forint (W\xc4\x99gry)',HUF,0.012752,0.013009999999999999
5,5.0,2020-06-09,b'frank szwajcarski',CHF,4.0769,4.1593
6,6.0,2020-06-09,b'funt szterling',GBP,4.9239999999999995,5.0234
7,7.0,2020-06-09,b'jen (Japonia)',JPY,0.035985,0.036711
8,8.0,2020-06-09,b'korona czeska',CZK,0.1654,0.1688
9,9.0,2020-06-09,b'korona du\xc5\x84ska',DKK,0.5898,0.6018
10,10.0,2020-06-09,b'korona norweska',NOK,0.4179,0.4263
11,11.0,2020-06-09,b'korona szwedzka',SEK,0.4222,0.4308
12,12.0,2020-06-09,b'SDR (MFW)',XDR,5.3773,5.4859
13,13.0,2020-06-10,b'dolar ameryka\xc5\x84ski',USD,3.8852,3.9636
14,14.0,2020-06-10,b'dolar australijski',AUD,2.7204,2.7754
15,15.0,2020-06-10,b'dolar kanadyjski',CAD,2.8960000000000004,2.9546
16,16.0,2020-06-10,b'euro',EUR,4.4157,4.5049
17,17.0,2020-06-10,b'forint (W\xc4\x99gry)',HUF,0.012861000000000001,0.013121
18,18.0,2020-06-10,b'frank szwajcarski',CHF,4.1094,4.1924
19,19.0,2020-06-10,b'funt szterling',GBP,4.9545,5.0545
20,20.0,2020-06-10,b'jen (Japonia)',JPY,0.036213,0.036945
21,21.0,2020-06-10,b'korona czeska',CZK,0.166,0.1694
22,22.0,2020-06-10,b'korona du\xc5\x84ska',DKK,0.5921,0.6041
23,23.0,2020-06-10,b'korona norweska',NOK,0.4167,0.4251
24,24.0,2020-06-10,b'korona szwedzka',SEK,0.4208,0.4294
25,25.0,2020-06-10,b'SDR (MFW)',XDR,5.4,5.5089999999999995
26,26.0,2020-06-12,b'dolar ameryka\xc5\x84ski',USD,3.8922,3.9708
27,27.0,2020-06-12,b'dolar australijski',AUD,2.6804,2.7346
28,28.0,2020-06-12,b'dolar kanadyjski',CAD,2.8705,2.9285
29,29.0,2020-06-12,b'euro',EUR,4.399,4.4878
30,30.0,2020-06-12,b'forint (W\xc4\x99gry)',HUF,0.012723,0.012981
31,31.0,2020-06-12,b'frank szwajcarski',CHF,4.1097,4.1927
32,32.0,2020-06-12,b'funt szterling',GBP,4.8997,4.9987
33,33.0,2020-06-12,b'jen (Japonia)',JPY,0.036256000000000004,0.036988
34,34.0,2020-06-12,b'korona czeska',CZK,0.1647,0.1681
35,35.0,2020-06-12,b'korona du\xc5\x84ska',DKK,0.59,0.602
36,36.0,2020-06-12,b'korona norweska',NOK,0.4065,0.4147
37,37.0,2020-06-12,b'korona szwedzka',SEK,0.4192,0.4276
38,38.0,2020-06-12,b'SDR (MFW)',XDR,5.3749,5.4835
39,39.0,2020-06-15,b'dolar ameryka\xc5\x84ski',USD,3.8939999999999997,3.9726
40,40.0,2020-06-15,b'dolar australijski',AUD,2.6722,2.7262
41,41.0,2020-06-15,b'dolar kanadyjski',CAD,2.8591,2.9169
42,42.0,2020-06-15,b'euro',EUR,4.3914,4.4802
43,43.0,2020-06-15,b'forint (W\xc4\x99gry)',HUF,0.012645,0.012901
44,44.0,2020-06-15,b'frank szwajcarski',CHF,4.1039,4.1869
45,45.0,2020-06-15,b'funt szterling',GBP,4.8946,4.9934
46,46.0,2020-06-15,b'jen (Japonia)',JPY,0.03626,0.036992000000000004
47,47.0,2020-06-15,b'korona czeska',CZK,0.1645,0.1679
48,48.0,2020-06-15,b'korona du\xc5\x84ska',DKK,0.589,0.6008
49,49.0,2020-06-15,b'korona norweska',NOK,0.40399999999999997,0.4122
50,50.0,2020-06-15,b'korona szwedzka',SEK,0.4161,0.4245
51,51.0,2020-06-15,b'SDR (MFW)',XDR,5.371,5.4796
52,52.0,2020-06-16,b'dolar ameryka\xc5\x84ski',USD,3.8944,3.9730000000000003
53,53.0,2020-06-16,b'dolar australijski',AUD,2.6994,2.7539999999999996
54,54.0,2020-06-16,b'dolar kanadyjski',CAD,2.8797,2.9379
55,55.0,2020-06-16,b'euro',EUR,4.3892,4.4778
56,56.0,2020-06-16,b'forint (W\xc4\x99gry)',HUF,0.012716,0.012972
57,57.0,2020-06-16,b'frank szwajcarski',CHF,4.1007,4.1835
58,58.0,2020-06-16,b'funt szterling',GBP,4.9159,5.0153
59,59.0,2020-06-16,b'jen (Japonia)',JPY,0.036253,0.036985000000000004
60,60.0,2020-06-16,b'korona czeska',CZK,0.1653,0.1687
61,61.0,2020-06-16,b'korona du\xc5\x84ska',DKK,0.5887,0.6005
62,62.0,2020-06-16,b'korona norweska',NOK,0.4104,0.4186
63,63.0,2020-06-16,b'korona szwedzka',SEK,0.4176,0.426
64,64.0,2020-06-16,b'SDR (MFW)',XDR,5.3801,5.4887
65,65.0,2020-06-17,b'dolar ameryka\xc5\x84ski',USD,3.9384,4.018
66,66.0,2020-06-17,b'dolar australijski',AUD,2.7131,2.7679
67,67.0,2020-06-17,b'dolar kanadyjski',CAD,2.904,2.9626
68,68.0,2020-06-17,b'euro',EUR,4.4189,4.5081
69,69.0,2020-06-17,b'forint (W\xc4\x99gry)',HUF,0.012813999999999999,0.013072
70,70.0,2020-06-17,b'frank szwajcarski',CHF,4.1437,4.2275
71,71.0,2020-06-17,b'funt szterling',GBP,4.9386,5.0384
72,72.0,2020-06-17,b'jen (Japonia)',JPY,0.036707,0.037449
73,73.0,2020-06-17,b'korona czeska',CZK,0.166,0.1694
74,74.0,2020-06-17,b'korona du\xc5\x84ska',DKK,0.5926,0.6046
75,75.0,2020-06-17,b'korona norweska',NOK,0.4113,0.4197
76,76.0,2020-06-17,b'korona szwedzka',SEK,0.42,0.4284
77,77.0,2020-06-17,b'SDR (MFW)',XDR,5.407,5.5162
78,78.0,2020-06-18,b'dolar ameryka\xc5\x84ski',USD,3.935,4.0144
79,79.0,2020-06-18,b'dolar australijski',AUD,2.6921,2.7465
80,80.0,2020-06-18,b'dolar kanadyjski',CAD,2.8957,2.9543
81,81.0,2020-06-18,b'euro',EUR,4.4122,4.5014
82,82.0,2020-06-18,b'forint (W\xc4\x99gry)',HUF,0.012740000000000001,0.012998
83,83.0,2020-06-18,b'frank szwajcarski',CHF,4.1338,4.2174
84,84.0,2020-06-18,b'funt szterling',GBP,4.8894,4.9882
85,85.0,2020-06-18,b'jen (Japonia)',JPY,0.036855,0.037599
86,86.0,2020-06-18,b'korona czeska',CZK,0.1653,0.1687
87,87.0,2020-06-18,b'korona du\xc5\x84ska',DKK,0.5918,0.6038
88,88.0,2020-06-18,b'korona norweska',NOK,0.4118,0.4202
89,89.0,2020-06-18,b'korona szwedzka',SEK,0.4176,0.426
90,90.0,2020-06-18,b'SDR (MFW)',XDR,5.4204,5.53
91,91.0,2020-06-19,b'dolar ameryka\xc5\x84ski',USD,3.9388,4.0184
92,92.0,2020-06-19,b'dolar australijski',AUD,2.7105,2.7653
93,93.0,2020-06-19,b'dolar kanadyjski',CAD,2.9,2.9586
94,94.0,2020-06-19,b'euro',EUR,4.4186,4.5078
95,95.0,2020-06-19,b'forint (W\xc4\x99gry)',HUF,0.012778,0.013036
96,96.0,2020-06-19,b'frank szwajcarski',CHF,4.1463,4.2301
97,97.0,2020-06-19,b'funt szterling',GBP,4.8749,4.9733
98,98.0,2020-06-19,b'jen (Japonia)',JPY,0.036868,0.037612
99,99.0,2020-06-19,b'korona czeska',CZK,0.1657,0.1691
100,100.0,2020-06-19,b'korona du\xc5\x84ska',DKK,0.5926,0.6046
101,101.0,2020-06-19,b'korona norweska',NOK,0.4121,0.4205
102,102.0,2020-06-19,b'korona szwedzka',SEK,0.4182,0.4266
103,103.0,2020-06-19,b'SDR (MFW)',XDR,5.4352,5.545
104,104.0,2020-06-22,b'dolar ameryka\xc5\x84ski',USD,3.9157,3.9949
105,105.0,2020-06-22,b'dolar australijski',AUD,2.7001,2.7547
106,106.0,2020-06-22,b'dolar kanadyjski',CAD,2.8903,2.9487
107,107.0,2020-06-22,b'euro',EUR,4.4032,4.4922
108,108.0,2020-06-22,b'forint (W\xc4\x99gry)',HUF,0.012698000000000001,0.012953999999999999
109,109.0,2020-06-22,b'frank szwajcarski',CHF,4.1283,4.2117
110,110.0,2020-06-22,b'funt szterling',GBP,4.8678,4.9662
111,111.0,2020-06-22,b'jen (Japonia)',JPY,0.036649,0.037389
112,112.0,2020-06-22,b'korona czeska',CZK,0.165,0.1684
113,113.0,2020-06-22,b'korona du\xc5\x84ska',DKK,0.5906,0.6026
114,114.0,2020-06-22,b'korona norweska',NOK,0.408,0.4162
115,115.0,2020-06-22,b'korona szwedzka',SEK,0.4177,0.4261
116,116.0,2020-06-22,b'SDR (MFW)',XDR,5.4103,5.5197
117,117.0,2020-06-23,b'dolar ameryka\xc5\x84ski',USD,3.8847,3.9631
118,118.0,2020-06-23,b'dolar australijski',AUD,2.7022,2.7568
119,119.0,2020-06-23,b'dolar kanadyjski',CAD,2.8754,2.9334
120,120.0,2020-06-23,b'euro',EUR,4.4011,4.4901
121,121.0,2020-06-23,b'forint (W\xc4\x99gry)',HUF,0.012572,0.012825999999999999
122,122.0,2020-06-23,b'frank szwajcarski',CHF,4.1165,4.1997
123,123.0,2020-06-23,b'funt szterling',GBP,4.8497,4.9477
124,124.0,2020-06-23,b'jen (Japonia)',JPY,0.036558,0.037295999999999996
125,125.0,2020-06-23,b'korona czeska',CZK,0.1651,0.1685
126,126.0,2020-06-23,b'korona du\xc5\x84ska',DKK,0.5905,0.6025
127,127.0,2020-06-23,b'korona norweska',NOK,0.4096,0.4178
128,128.0,2020-06-23,b'korona szwedzka',SEK,0.4188,0.4272
129,129.0,2020-06-23,b'SDR (MFW)',XDR,5.4083,5.5175
130,130.0,2020-06-24,b'dolar ameryka\xc5\x84ski',USD,3.9092,3.9882
131,131.0,2020-06-24,b'dolar australijski',AUD,2.6951,2.7495
132,132.0,2020-06-24,b'dolar kanadyjski',CAD,2.8783,2.9365
133,133.0,2020-06-24,b'euro',EUR,4.4045,4.4935
134,134.0,2020-06-24,b'forint (W\xc4\x99gry)',HUF,0.012513,0.012765
135,135.0,2020-06-24,b'frank szwajcarski',CHF,4.125,4.2084
136,136.0,2020-06-24,b'funt szterling',GBP,4.8736,4.9719999999999995
137,137.0,2020-06-24,b'jen (Japonia)',JPY,0.036585,0.037325
138,138.0,2020-06-24,b'korona czeska',CZK,0.1648,0.1682
139,139.0,2020-06-24,b'korona du\xc5\x84ska',DKK,0.5909,0.6029
140,140.0,2020-06-24,b'korona norweska',NOK,0.4083,0.4165
141,141.0,2020-06-24,b'korona szwedzka',SEK,0.4195,0.4279
142,142.0,2020-06-24,b'SDR (MFW)',XDR,5.3763,5.4849
143,143.0,2020-06-25,b'dolar ameryka\xc5\x84ski',USD,3.9428,4.0224
144,144.0,2020-06-25,b'dolar australijski',AUD,2.7111,2.7659
145,145.0,2020-06-25,b'dolar kanadyjski',CAD,2.8911,2.9495
146,146.0,2020-06-25,b'euro',EUR,4.4224,4.5118
147,147.0,2020-06-25,b'forint (W\xc4\x99gry)',HUF,0.012509000000000001,0.012761
148,148.0,2020-06-25,b'frank szwajcarski',CHF,4.1558,4.2398
149,149.0,2020-06-25,b'funt szterling',GBP,4.8955,4.9945
150,150.0,2020-06-25,b'jen (Japonia)',JPY,0.036786,0.03753
151,151.0,2020-06-25,b'korona czeska',CZK,0.1653,0.1687
152,152.0,2020-06-25,b'korona du\xc5\x84ska',DKK,0.5933,0.6053
153,153.0,2020-06-25,b'korona norweska',NOK,0.40700000000000003,0.4152
154,154.0,2020-06-25,b'korona szwedzka',SEK,0.4226,0.4312
155,155.0,2020-06-25,b'SDR (MFW)',XDR,5.4232,5.5328
156,156.0,2020-06-26,b'dolar ameryka\xc5\x84ski',USD,3.9489,4.0287
157,157.0,2020-06-26,b'dolar australijski',AUD,2.7081,2.7629
